Year,TCEQ Registered Entity Reference Number,TCEQ Air Account Number,Organization,Site,Nearby City,County,Latitude (Decimal),Longitude (Decimal),NAICS Code,Industry Description,
2022,RN109137703,HFA010J,ENERGY TRANSFER MARKETING & TERMINALS LP,SARATOGA TRUCK STATION                            ,SARATOGA       ,HARDIN,30.28691944,94.50523611,484230,"Specialized freight (except used goods) trucking, long-distance",
2022,RN102157609,JC0003K,WESTROCK TEXAS LP,EVADALE MILL                                      ,EVADALE        ,JASPER,30.34459166,94.066275,322130,Paperboard Mills,
2022,RN100221878,JC0019S,TENNESSEE GAS PIPELINE COMPANY LLC,COMPRESSOR STATION 32                             ,JASPER         ,JASPER,30.98246944,94.14036666,486210,Pipeline Transportation of Natural Gas,
2022,RN100215169,JC0058I,LOUISIANA-PACIFIC CORPORATION,JASPER OSB MILL                                   ,JASPER         ,JASPER,30.89694444,93.9275,321219,Reconstituted Wood Product Manufacturing,
2022,RN102168705,JC0067H,ET GATHERING & PROCESSING LLC,BROOKELAND GAS PLANT                              ,BROOKELAND     ,JASPER,31.06191388,93.96158611,211130,Natural Gas Extraction,
2022,RN102457520,JE0005H,TOTALENERGIES PETROCHEMICALS & REFINING USA INC,PORT ARTHUR REFINERY                              ,PORT ARTHUR    ,JEFFERSON,29.96299722,93.89020277,324110,Petroleum Refineries,
2022,RN100225671,JE0016C,JEFFERSON HOLIDAY ISLAND LLC,ISLAND PARK FABRICATION PLANT                     ,BEAUMONT       ,JEFFERSON,30.08934444,94.09603611,332312,Fabricated Structural Metal Manufacturing,
2022,RN100224799,JE0017A,LION ELASTOMERS LLC,PORT NECHES SYNTHETIC RUBBER PLANT                ,PORT NECHES    ,JEFFERSON,29.98901944,93.94519166,325212,Synthetic Rubber Manufacturing,
2022,RN102599719,JE0024D,VEOLIA ES TECHNICAL SOLUTIONS LLC,HAZARDOUS WASTE DISPOSAL                          ,PORT ARTHUR    ,JEFFERSON,29.8530531,94.0952719,562212,Solid Waste Landfill,
2022,RN100216035,JE0033C,CHEMOURS COMPANY FC LLC,CHEMOURS BEAUMONT ANILINE FACILITY                ,BEAUMONT       ,JEFFERSON,30.01476388,94.02883611,325194,"Cyclic Crude, Intermediate, and Gum and Wood Chemical Manufacturing",
2022,RN102561925,JE0039N,GOODYEAR TIRE & RUBBER COMPANY,BEAUMONT CHEMICAL PLANT                           ,BEAUMONT       ,JEFFERSON,29.97585833,94.21564166,325212,Synthetic Rubber Manufacturing,
2022,RN100209287,JE0040F,OXBOW CALCINING LLC,PORT ARTHUR TX CALCINING PLANT                    ,PORT ARTHUR    ,JEFFERSON,29.83511111,93.96354166,324199,All Other Petroleum and Coal Products Manufacturing,
2022,RN102584026,JE0042B,PREMCOR REFINING GROUP INC,VALERO PORT ARTHUR REFINERY                       ,PORT ARTHUR    ,JEFFERSON,29.85908055,93.96824166,324110,Petroleum Refineries,
2022,RN100210426,JE0043W,VALERO PARTNERS LUCAS LLC,LUCAS STATION                                     ,BEAUMONT       ,JEFFERSON,30.00027777,94.07055555,486110,Pipeline Transportation of Crude Oil,
2022,RN100219252,JE0052V,INDORAMA VENTURES OXIDES LLC,PORT NECHES OPERATIONS                            ,PORT NECHES    ,JEFFERSON,29.96717222,93.93291111,325110,Petrochemical Manufacturing,
2022,RN100542844,JE0062S,EXXONMOBIL OIL CORPORATION,BEAUMONT CHEMICAL PLANT                           ,BEAUMONT       ,JEFFERSON,30.06805555,94.05944444,325110,Petrochemical Manufacturing,
2022,RN100211903,JE0065M,EXXONMOBIL OIL CORP,POLYETHYLENE PLANT                                ,BEAUMONT       ,JEFFERSON,30.06824722,94.23005,325211,Plastics Material and Resin Manufacturing,
2022,RN102450756,JE0067I,EXXONMOBIL OIL CORPORATION,BEAUMONT REFINERY                                 ,BEAUMONT       ,JEFFERSON,30.06583333,94.07138888,324110,Petroleum Refineries,
2022,RN100715762,JE0068G,SUNOCO PIPELINE LP,HEBERT TERMINAL                                   ,BEAUMONT       ,JEFFERSON,29.97856666,94.05977222,424710,Petroleum Bulk Stations and Terminals,
2022,RN100218932,JE0073N,CHEMTRADE REFINERY SERVICES INC,BEAUMONT FACILITY                                 ,BEAUMONT       ,JEFFERSON,30.04638888,94.06888888,325180,Other Basic Inorganic Chemical Manufacturing,
2022,RN100216373,JE0074L,ARKEMA INC,ARKEMA BEAUMONT PLANT                             ,BEAUMONT       ,JEFFERSON,30.05870555,94.05678888,325199,All Other Basic Organic Chemical Manufacturing,
2022,RN100214626,JE0091L,ENERGY TRANSFER NEDERLAND TERMINAL LLC,NEDERLAND TERMINAL                                ,NEDERLAND      ,JEFFERSON,29.99950555,93.99297777,424710,Petroleum Bulk Stations and Terminals,
2022,RN100210103,JE0093H,MOTIVA ENTERPRISES LLC,PORT NECHES TERMINAL                              ,PORT NECHES    ,JEFFERSON,29.98226944,93.93763333,424710,Petroleum Bulk Stations and Terminals,
2022,RN100238898,JE0094F,MOTIVA ENTERPRISES LLC,PORT ARTHUR TERMINAL                              ,PORT ARTHUR    ,JEFFERSON,29.83950277,93.955075,424710,Petroleum Bulk Stations and Terminals,
2022,RN100209451,JE0095D,MOTIVA ENTERPRISES LLC,PORT ARTHUR REFINERY                              ,PORT ARTHUR    ,JEFFERSON,29.88333333,93.95833333,324110,Petroleum Refineries,
2022,RN100228717,JE0098U,ENTERPRISE REFINED PRODUCTS COMPANY LLC,BEAUMONT TERMINAL                                 ,BEAUMONT       ,JEFFERSON,30.00619166,94.05569444,486910,Pipeline Transportation of Refined Petroleum Products,
2022,RN102027174,JE0100M,COLONIAL PIPELINE COMPANY,PORT ARTHUR PRODUCTS STATION                      ,PORT ARTHUR    ,JEFFERSON,29.88933055,93.99365,486910,Pipeline Transportation of Refined Petroleum Products,
2022,RN102596210,JE0111H,PHILLIPS 66 PIPELINE LLC,BEAUMONT TERMINAL                                 ,NEDERLAND      ,JEFFERSON,29.99970555,93.981125,424710,Petroleum Bulk Stations and Terminals,
2022,RN100634922,JE0113D,BASF CORPORATION,BASF BEAUMONT AGRO PLANT                          ,BEAUMONT       ,JEFFERSON,29.97018333,94.05551111,325320,Pesticide and Other Agricultural Chemical Manufacturing,
2022,RN102881588,JE0115W,CHEVRON PHILLIPS CHEMICAL COMPANY LP,PORT ARTHUR TERMINAL                              ,PORT ARTHUR    ,JEFFERSON,29.837875,93.96025833,488320,Marine Cargo Handling,
2022,RN100217389,JE0135Q,MOTIVA ENTERPRISES LLC,PORT ARTHUR CHEMICALS                             ,PORT ARTHUR    ,JEFFERSON,29.89277777,93.97333333,325110,Petrochemical Manufacturing,
2022,RN102308053,JE0140A,TOTALENERGIES PETROCHEMICALS & REFINING USA INC.,WEST PORT ARTHUR TANK FARM                        ,PORT ARTHUR    ,JEFFERSON,29.89333333,93.99277777,424710,Petroleum Bulk Stations and Terminals,
2022,RN102553336,JE0149F,EXXONMOBIL OIL CORPORATION,COLONIAL PIPELINE                                 ,NEDERLAND      ,JEFFERSON,29.97583333,94.05833333,424710,Petroleum Bulk Stations and Terminals,
2022,RN101954394,JE0160R,EXPLORER PIPELINE CO,PORT ARTHUR TANK FARM                             ,PORT ARTHUR    ,JEFFERSON,29.90148055,94.00605555,486910,Pipeline Transportation of Refined Petroleum Products,
2022,RN102601994,JE0164J,VEOLIA WTS USA INC,BEAUMONT PLANT                                    ,BEAUMONT       ,JEFFERSON,30.064525,94.22305833,325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing,
2022,RN102198611,JE0173I,UNITED STATES DEPARTMENT OF ENERGY,BIG HILL SPR                                      ,WINNIE         ,JEFFERSON,29.74726666,94.240825,424710,Petroleum Bulk Stations and Terminals,
2022,RN101971265,JE0177A,UCAR PIPELINE INC,GROVES COMPRESSOR STATION                         ,GROVES         ,JEFFERSON,29.96236944,93.92446111,486,Pipeline Transportation,
2022,RN102987369,JE0220B,CITY OF BEAUMONT,BEAUMONT LANDFILL                                 ,BEAUMONT       ,JEFFERSON,30.029975,94.12369722,562212,Solid Waste Landfill,
2022,RN100219716,JE0228I,VALERO PARTNERS PAPS LLC,EL VISTA TERMINAL                                 ,PORT ARTHUR    ,JEFFERSON,29.8975,94.00305555,486910,Pipeline Transportation of Refined Petroleum Products,
2022,RN100640283,JE0318G,MONUMENT CHEMICAL PORT ARTHUR LLC,KMTEX                                             ,PORT ARTHUR    ,JEFFERSON,29.82830555,93.96309444,325199,All Other Basic Organic Chemical Manufacturing,
2022,RN101622876,JE0320T,NECHES RIVER TREATMENT CORP,LNVA - NORTH PLANT REGIONAL TREATMENT PLANT       ,BEAUMONT       ,JEFFERSON,30.06302777,94.06176111,221320,Sewage Treatment Facilities,
2022,RN100211424,JE0342J,DCP OPERATING COMPANY  LP,SPINDLETOP STORAGE                                ,BEAUMONT       ,JEFFERSON,30.02444444,94.08289166,211111,Crude Petroleum and Natural Gas Extraction,
2022,RN102559291,JE0343H,OCI BEAUMONT LLC,BEAUMONT PLANT                                    ,BEAUMONT       ,JEFFERSON,30.0175,94.03388888,325199,All Other Basic Organic Chemical Manufacturing,
2022,RN101923589,JE0350K,GEPARD ENERGY INC,CLAM LAKE COMPRESSOR STATION 1                    ,SABINE PASS    ,JEFFERSON,29.69856944,94.10463055,2111,Oil and Gas Extraction,
2022,RN100221928,JE0351I,AIR LIQUIDE LARGE INDUSTRIES US LP,PORT NECHES ASU COGEN PLANT                       ,PORT NECHES    ,JEFFERSON,29.97861666,93.95199166,325120,Industrial Gas Manufacturing,
2022,RN100213248,JE0419W,LOWER NECHES VALLEY AUTHORITY,NECHES 1 PUMPING STATION                          ,BEAUMONT       ,JEFFERSON,30.16805555,94.155,221310,Water Supply and Irrigation Systems,
2022,RN101993236,JE0422K,LOWER NECHES VALLEY AUTHORITY,BI 1ST PUMPING STATION                            ,BEAUMONT       ,JEFFERSON,30.17888888,94.18944444,221310,Water Supply and Irrigation Systems,
2022,RN102736089,JE0425E,JEFFERSON TERMINAL SOUTH LLC,BEAUMONT SITE                                     ,NEDERLAND      ,JEFFERSON,30.01462777,94.02854722,424710,Petroleum Bulk Stations and Terminals,
2022,RN100217330,JE0505F,GOLDEN TRIANGLE LANDFILL TX LP,GOLDEN TRIANGLE LANDFILL                          ,BEAUMONT       ,JEFFERSON,29.98914444,94.16083611,562212,Solid Waste Landfill,
2022,RN100209857,JE0508W,CHEVRON PHILLIPS CHEMICAL COMPANY LP,PORT ARTHUR PLANT                                 ,PORT ARTHUR    ,JEFFERSON,29.84899722,93.97653333,325110,Petrochemical Manufacturing,
2022,RN102514791,JE0730T,CUSTOM BLAST SERVICES INC,CUSTOM BLAST SERVICES NEDERLAND                   ,NEDERLAND      ,JEFFERSON,29.97304444,94.02998888,332812,Metal Coating,
2022,RN100542349,JE0769P,DCP OPERATING COMPANY  LP,WEST BEAUMONT GAS PLANT                           ,BEAUMONT       ,JEFFERSON,30.01096388,94.11936388,211130,Natural Gas Extraction,
2022,RN101941284,JE0824J,AIR PRODUCTS LLC,AIR PRODUCTS PORT ARTHUR FACILITY                 ,PORT ARTHUR    ,JEFFERSON,29.86586944,93.97026388,325120,Industrial Gas Manufacturing,
2022,RN100216977,JE0843F,BASF TOTAL PETROCHEMICALS LLC,BASF TOTAL NAFTA REGION OLEFINS COMPLEX           ,PORT ARTHUR    ,JEFFERSON,29.95391944,93.88502222,325110,Petrochemical Manufacturing,
2022,RN102497112,JE0856T,EXXONMOBIL OIL CORP,BEAUMONT BLENDING AND PACKAGING                   ,BEAUMONT       ,JEFFERSON,30.05763055,94.08309722,324191,Petroleum Lubricating Oil and Grease Manufacturing,
2022,RN102530268,JE0870C,GLOBAL COMPANIES LLC,BEAUMONT TERMINAL                                 ,BEAUMONT       ,JEFFERSON,29.99688611,94.06931111,424710,Petroleum Bulk Stations and Terminals,
2022,RN102845435,JEA003C,LINDE INC,PRAXAIR PORT ARTHUR HYDROGEN FACILITY             ,PORT ARTHUR    ,JEFFERSON,29.88504166,93.96555555,325120,Industrial Gas Manufacturing,
2022,RN104964267,JEA007G,TPC GROUP LLC,PORT NECHES OPERATIONS C4 PLANT                   ,PORT NECHES    ,JEFFERSON,29.98000277,93.94601944,424690,Other Chemical and Allied Products Merchant Wholesalers,
2022,RN104751169,JEA011K,RESIN SOLUTIONS LLC,TOTAL CRAY VALLEY BEAUMONT                        ,BEAUMONT       ,JEFFERSON,29.977225,94.21521388,325211,Plastics Material and Resin Manufacturing,
2022,RN105179832,JEA018R,ENTERPRISE REFINED PRODUCTS COMPANY LLC,PORT ARTHUR PRODUCTS TERMINAL                     ,PORT ARTHUR    ,JEFFERSON,29.91111111,94.01,486910,Pipeline Transportation of Refined Petroleum Products,
2022,RN106078850,JEA025Y,LINDE INC,PORT ARTHUR PLANT                                 ,PORT ARTHUR    ,JEFFERSON,29.86305555,93.97777777,325120,Industrial Gas Manufacturing,
2022,RN109031641,JEA030D,THE DOW CHEMICAL COMPANY,BEAUMONT ANILINE                                  ,NEDERLAND      ,JEFFERSON,30.01540555,94.02937777,325110,Petrochemical Manufacturing,
2022,RN106586795,JEA035H,NATGASOLINE LLC,BEAUMONT GAS TO GASOLINE PLANT                    ,BEAUMONT       ,JEFFERSON,30.03549166,94.04578611,325199,All Other Basic Organic Chemical Manufacturing,
2022,RN109845768,JEA039L,BAYPORT POLYMERS LLC,ETHANE CRACKER                                    ,PORT ARTHUR    ,JEFFERSON,29.95755555,93.88278055,325110,Petrochemical Manufacturing,
2022,RN110966884,JEA040M,DIAMOND GREEN DIESEL LLC,PORT ARTHUR FACILITY                              ,PORT ARTHUR    ,JEFFERSON,29.85161666,93.96229444,325998,All Other Miscellaneous Chemical Product Manufacturing,
2022,RN111476404,JEA041N,ENERGY TRANSFER NEDERLAND TERMINAL LLC,NEDERLAND LPG TERMINAL                            ,NEDERLAND      ,JEFFERSON,30.00643055,93.98952777,424710,Petroleum Bulk Stations and Terminals,
2022,RN100222553,NC0001X,WESTERN WASTE OF TEXAS LLC,NEWTON COUNTY REGIONAL SOLID WASTE COMPLEX        ,NEWTON         ,NEWTON,30.33949166,93.84831666,562212,Solid Waste Landfill,
2022,RN100226109,NC0056N,COTTONWOOD ENERGY COMPANY LP,COTTONWOOD ENERGY CO LP                           ,DEWEYVILLE     ,NEWTON,30.25803888,93.73603611,221112,Fossil Fuel Electric Power Generation,
2022,RN100217405,OC0001V,HONEYWELL INTERNATIONAL INC,ORANGE PLANT                                      ,ORANGE         ,ORANGE,30.04883333,93.76411111,325211,Plastics Material and Resin Manufacturing,
2022,RN100825363,OC0004P,ARLANXEO USA LLC,ORANGE PLANT                                      ,ORANGE         ,ORANGE,30.04805555,93.76972222,325212,Synthetic Rubber Manufacturing,
2022,RN100542711,OC0007J,THE DOW CHEMICAL COMPANY,SABINE RIVER OPERATIONS                           ,ORANGE         ,ORANGE,30.05285555,93.75056388,325110,Petrochemical Manufacturing,
2022,RN100224468,OC0010U,LION ELASTOMERS ORANGE LLC,ORANGE PLANT                                      ,ORANGE         ,ORANGE,30.04981388,93.78675555,325212,Synthetic Rubber Manufacturing,
2022,RN100226059,OC0011S,OPTIMUS STEEL LLC,OPTIMUS STEEL BEAUMONT MILL                       ,ROSE CITY      ,ORANGE,30.08144444,94.07358055,331110,Iron and Steel Mills and Ferroalloy Manufacturing,
2022,RN100215615,OC0012Q,CHEVRON PHILLIPS CHEMICAL COMPANY LP,ORANGE PLANT                                      ,ORANGE         ,ORANGE,30.04486944,93.78041944,325211,Plastics Material and Resin Manufacturing,
2022,RN102513041,OC0013O,ENTERGY TEXAS INC,SABINE PLANT                                      ,BRIDGE CITY    ,ORANGE,30.02361111,93.87611111,221112,Fossil Fuel Electric Power Generation,
2022,RN100214428,OC0019C,INTERNATIONAL PAPER COMPANY,ORANGE MILL                                       ,ORANGE         ,ORANGE,30.21777222,93.74233611,322130,Paperboard Mills,
2022,RN100209386,OC0020R,ORION ENGINEERED CARBONS LLC,ORANGE CARBON BLACK PLANT                         ,ORANGE         ,ORANGE,30.1525,93.72055555,325180,Other Basic Inorganic Chemical Manufacturing,
2022,RN100234681,OC0054A,EAGLE RAILCAR SERVICES-ORANGE TEXAS LLC,EAGLE RAILCAR SERVICES ORANGE TEXAS               ,ORANGE         ,ORANGE,30.06860555,93.76898333,488210,Support Activities for Rail Transportation,
2022,RN100825264,OC0072V,TEXAS EASTERN TRANSMISSION LP,VIDOR COMPRESSOR STATION                          ,VIDOR          ,ORANGE,30.06305555,93.97583333,486210,Pipeline Transportation of Natural Gas,
2022,RN100227909,OC0073T,FLORIDA GAS TRANSMISSION CO LLC,VIDOR COMPRESSOR STATION                          ,VIDOR          ,ORANGE,30.06616944,93.95250277,486210,Pipeline Transportation of Natural Gas,
2022,RN102305505,OC0077L,SOLVAY SPECIALTY POLYMERS USA LLC,SPECIALTY POLYMERS ORANGE TX                      ,ORANGE         ,ORANGE,30.04969444,93.76616388,325211,Plastics Material and Resin Manufacturing,
2022,RN102176310,OC0142C,HILCORP  ENERGY COMPANY,VIDOR PRODUCTION FACILITY                         ,VIDOR          ,ORANGE,30.15646388,93.99360555,2111,Oil and Gas Extraction,
2022,RN102745825,OC0152W,CONRAD ORANGE SHIPYARD INC,CONRAD ORANGE SHIPYARD                            ,ORANGE         ,ORANGE,30.08388888,93.73444444,336611,Ship Building and Repairing,
2022,RN102807211,OC0369S,SOUTHEAST TEXAS INDUSTRIES INC,SOUTHEAST TEXAS INDUSTRIES                        ,BRIDGE CITY    ,ORANGE,30.02600277,93.816775,332312,Fabricated Structural Metal Manufacturing,
2022,RN102606639,OC0374C,HILCORP ENERGY COMPANY,E F WILLIAMS PRODUCTION FACILITY                  ,VIDOR          ,ORANGE,30.20305555,93.91722222,2111,Oil and Gas Extraction,
2022,RN100214303,OC0376V,WESTPORT ORANGE SHIPYARD LLC,WESTPORT ORANGE SHIPYARD                          ,ORANGE         ,ORANGE,30.08566666,93.72535833,336611,Ship Building and Repairing,
2022,RN101976405,OC0405Q,SOUTHEAST TEXAS INDUSTRIES INC,METAL PARTS FABRICATION                           ,VIDOR          ,ORANGE,30.11915833,94.02061388,332312,Fabricated Structural Metal Manufacturing,
2022,RN104392626,OCA002B,INV NYLON CHEMICALS AMERICAS LLC,ORANGE SITE                                       ,ORANGE         ,ORANGE,30.05416666,93.75220833,332312,Fabricated Structural Metal Manufacturing,
2022,RN104385521,OCA003C,ENERGY TRANSFER CO,VIDOR COMPRESSOR STATION                          ,VIDOR          ,ORANGE,30.05516666,93.982025,484230,"Specialized freight (except used goods) trucking, long-distance",
2022,RN105469498,OCA007G,OLIPDP II LLC,PORT OF ORANGE                                    ,ORANGE         ,ORANGE,30.06815,93.71911111,211111,Crude Petroleum and Natural Gas Extraction,
2022,RN106509508,OCA009I,TORRENT OIL LLC,BESSIE HEIGHTS PRODUCTION FACILITY                ,PORT NECHES    ,ORANGE,30.03481666,93.94021944,211111,Crude Petroleum and Natural Gas Extraction,
2022,RN106402894,OCA010J,JEFFERSON RAILPORT TERMINAL I TEXAS LLC,JEFFERSON RAILPORT TERMINAL                       ,BEAUMONT       ,ORANGE,30.08386111,94.08125555,424710,Petroleum Bulk Stations and Terminals,
2022,RN111009247,OCA011K,HERITAGE THERMAL OF TEXAS LLC,HERITAGE THERMAL OF TEXAS                         ,ORANGE         ,ORANGE,30.05333333,93.75527777,562211,Hazardous Waste Treatment and Disposal,
